Designator,Mid X,Mid Y,Rotation,Layer
C1,147.0,-84.0,270.0,top
C10,106.0,-71.0,180.0,top
C11,107.0,-70.0,0.0,top
C12,144.0,-77.25,0.0,top
C13,120.75,-74.25,90.0,top
C14,113.75,-74.0,90.0,top
C15,144.0,-72.75,180.0,top
C16,116.0,-74.0,90.0,top
C2,147.0,-80.0,90.0,top
C3,132.75,-84.48,0.0,top
C4,134.5,-74.0,0.0,top
C5,140.75,-85.75,270.0,top
C6,141.75,-85.75,270.0,top
C7,144.0,-78.25,0.0,top
C8,116.0,-71.0,180.0,top
C9,117.0,-70.0,0.0,top
D1,110.0,-73.75,270.0,top
D2,117.25,-85.5,180.0,top
D3,114.0,-85.5,0.0,top
FB1,144.0,-75.0,270.0,top
FB2,112.0,-73.75,270.0,top
J1,105.5,-80.0,270.0,top
J10,104.0,-67.25,180.0,top
J11,103.5,-92.75,0.0,top
J12,109.75,-92.75,0.0,top
J13,128.5,-92.75,0.0,top
J14,134.5,-92.75,0.0,top
J15,140.5,-92.75,0.0,top
J3,116.5,-92.75,0.0,top
J4,122.5,-92.75,0.0,top
J5,146.5,-92.75,0.0,top
J6,140.0,-67.25,180.0,top
J7,124.0,-67.25,180.0,top
J8,132.0,-67.25,180.0,top
J9,114.0,-67.25,180.0,top
Q1,114.0,-88.5,180.0,top
Q2,120.0,-88.5,180.0,top
Q3,144.0,-88.5,180.0,top
Q4,126.0,-88.5,180.0,top
Q5,132.0,-88.5,180.0,top
Q6,138.0,-88.5,180.0,top
R1,110.75,-78.25,0.0,top
R10,124.0,-85.5,0.0,top
R11,122.25,-74.25,270.0,top
R12,120.25,-85.5,180.0,top
R13,110.75,-85.5,0.0,top
R14,138.3,-86.2,0.0,top
R15,126.0,-70.0,180.0,top
R16,126.0,-71.0,180.0,top
R17,134.0,-71.0,180.0,top
R18,142.0,-71.0,180.0,top
R19,134.0,-70.0,180.0,top
R2,110.75,-81.7,180.0,top
R20,142.0,-70.0,180.0,top
R3,127.5,-85.5,0.0,top
R4,120.0,-71.0,0.0,top
R5,119.0,-70.0,0.0,top
R6,110.0,-71.0,0.0,top
R7,109.0,-70.0,0.0,top
R8,118.0,-71.0,180.0,top
R9,108.0,-71.0,180.0,top
SW1,128.75,-80.0,90.0,top
U1,110.8,-80.0,270.0,top
U2,122.75,-80.0,0.0,top
U3,116.0,-80.0,90.0,top
U4,137.0,-80.0,90.0,top
Y1,144.5,-82.0,90.0,top
